Date,Open,High,Low,Close,Adj Close,Volume
2019-02-21,235.500000,236.500000,234.500000,236.500000,225.523254,33764489
2019-02-22,235.500000,236.500000,234.000000,236.500000,225.523254,22032163
2019-02-25,237.500000,239.000000,236.000000,238.000000,226.953629,24105138
2019-02-26,239.000000,240.000000,236.500000,239.500000,228.384018,24522789
2019-02-27,238.500000,239.500000,237.000000,239.000000,227.907227,35240889
2019-03-04,239.500000,239.500000,234.500000,235.500000,224.569656,39655513
2019-03-05,234.000000,234.500000,232.500000,233.000000,222.185699,22641407
2019-03-06,235.000000,235.500000,233.500000,234.000000,223.139297,20433226
2019-03-07,235.000000,235.000000,233.000000,234.000000,223.139297,17126192
2019-03-08,231.000000,231.500000,229.000000,230.000000,219.324936,22190659
2019-03-11,228.000000,230.500000,227.500000,230.500000,219.801743,23200793
2019-03-12,233.000000,237.000000,232.500000,235.500000,224.569656,23588085
2019-03-13,234.000000,237.000000,234.000000,237.000000,226.000046,20500195
2019-03-14,239.000000,239.000000,234.000000,234.500000,223.616074,17175356
2019-03-15,237.000000,239.500000,235.500000,239.000000,227.907227,33649729
2019-03-18,239.500000,241.000000,239.000000,241.000000,229.814392,26856532
2019-03-19,239.000000,240.500000,238.000000,240.500000,229.337601,14479009
2019-03-20,242.000000,242.000000,239.500000,242.000000,230.767975,22975971
2019-03-21,242.500000,245.500000,241.000000,245.500000,234.105530,26179502
2019-03-22,248.000000,248.500000,244.500000,248.500000,236.966309,22931467
2019-03-25,240.500000,243.500000,240.500000,241.500000,230.291183,19211254
2019-03-26,243.000000,244.000000,241.000000,244.000000,232.675156,19920170
2019-03-27,242.000000,242.500000,240.500000,241.500000,230.291183,22590089
2019-03-28,240.500000,242.500000,240.000000,242.000000,230.767975,13933054
2019-03-29,243.000000,245.500000,240.500000,245.500000,234.105530,28220810
2019-04-01,251.000000,251.000000,245.000000,245.500000,234.105530,35330656
2019-04-02,249.500000,249.500000,246.000000,246.000000,234.582321,24105053
2019-04-03,249.000000,249.000000,246.500000,246.500000,235.059113,24945323
2019-04-08,251.000000,253.000000,250.500000,253.000000,241.257416,45184821
2019-04-09,253.000000,254.000000,252.000000,254.000000,242.211029,22355674
2019-04-10,253.000000,254.500000,252.000000,254.000000,242.211029,25849934
2019-04-11,253.000000,254.000000,251.500000,252.000000,240.303848,24896840
2019-04-12,251.500000,253.000000,251.000000,252.000000,240.303848,13548148
2019-04-15,255.000000,256.000000,254.000000,255.500000,243.641403,17192002
2019-04-16,257.000000,257.000000,255.500000,257.000000,245.071777,19652648
2019-04-17,260.000000,263.000000,259.500000,261.500000,249.362915,37864191
2019-04-18,264.000000,266.000000,263.500000,264.500000,252.223679,38006795
2019-04-19,269.000000,269.500000,263.500000,264.500000,252.223679,44658699
2019-04-22,266.500000,267.500000,265.000000,266.000000,253.654068,24967393
2019-04-23,266.500000,268.000000,266.000000,268.000000,255.561234,25336847
2019-04-24,270.000000,270.000000,267.500000,269.000000,256.514801,26449755
2019-04-25,268.500000,269.000000,267.000000,267.500000,255.084442,32386724
2019-04-26,262.000000,263.000000,257.500000,260.000000,247.932541,47518804
2019-04-29,260.000000,262.000000,258.500000,259.500000,247.455765,31126618
2019-04-30,260.000000,260.500000,258.000000,259.000000,246.978958,33799419
2019-05-02,261.500000,262.500000,258.500000,259.000000,246.978958,27091394
2019-05-03,262.000000,265.000000,260.500000,265.000000,252.700485,29840246
2019-05-06,260.000000,260.000000,258.000000,259.000000,246.978958,32823187
2019-05-07,259.500000,263.000000,259.000000,262.500000,250.316513,25686126
2019-05-08,260.000000,261.500000,259.500000,260.000000,247.932541,25542364
2019-05-09,259.500000,259.500000,256.000000,256.500000,244.594986,33587574
2019-05-10,257.000000,259.000000,255.000000,256.000000,244.118195,18617212
2019-05-13,253.000000,254.000000,249.500000,250.500000,238.873474,28284535
2019-05-14,247.500000,251.000000,245.000000,248.500000,236.966309,45055708
2019-05-15,251.000000,252.000000,249.000000,249.000000,237.443085,36825479
2019-05-16,248.500000,249.500000,246.000000,247.000000,235.535904,29713519
2019-05-17,249.000000,249.000000,241.500000,241.500000,230.291183,38647856
2019-05-20,242.500000,243.000000,238.000000,238.000000,226.953629,39157661
2019-05-21,233.500000,236.000000,232.500000,234.000000,223.139297,80042775
2019-05-22,236.500000,240.500000,235.500000,238.000000,226.953629,34622034
2019-05-23,233.500000,233.500000,230.000000,230.000000,219.324936,58752627
2019-05-24,230.000000,234.000000,230.000000,233.000000,222.185699,36000789
2019-05-27,234.000000,235.000000,231.000000,231.000000,220.278519,35562033
2019-05-28,232.000000,232.000000,230.500000,230.500000,219.801743,95240033
2019-05-29,228.000000,230.500000,227.000000,229.500000,218.848145,26533236
2019-05-30,230.000000,231.500000,229.000000,231.000000,220.278519,28500328
2019-05-31,232.000000,237.500000,231.000000,235.500000,224.569656,46070338
2019-06-03,235.500000,238.500000,232.000000,238.000000,226.953629,31054092
2019-06-04,237.500000,238.000000,233.000000,233.000000,222.185699,24443428
2019-06-05,238.000000,238.000000,234.000000,235.000000,224.092865,29139584
2019-06-06,231.500000,232.000000,229.500000,232.000000,221.232117,34651731
2019-06-10,237.500000,240.000000,234.500000,240.000000,228.860809,35373888
2019-06-11,240.000000,246.000000,239.000000,244.500000,233.151947,31965670
2019-06-12,244.500000,247.500000,243.000000,246.000000,234.582321,29675556
2019-06-13,242.500000,244.000000,240.000000,240.000000,228.860809,32981724
2019-06-14,238.500000,239.500000,236.000000,236.000000,225.046463,31951556
2019-06-17,231.500000,235.000000,230.500000,233.000000,222.185699,51017012
2019-06-18,234.000000,235.500000,233.000000,235.500000,224.569656,28578087
2019-06-19,242.500000,244.000000,240.500000,244.000000,232.675156,50164372
